"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
136,105,82,150,-2.2054277692492E-05,2.33151385859205E-07,4.43159558452638E-06,2.24963233336265E-05
137,105,88,165,-2.57453451959397E-05,1.69106026554531E-06,3.87283651313149E-06,2.60898705772422E-05
138,105,96,180,-3.00449583578057E-05,2.85788505802874E-06,3.27743365019886E-06,3.03580071984088E-05
139,105,107,195,-3.52586028623515E-05,3.30021935484364E-06,2.98765687547474E-06,3.55385230025205E-05
140,105,123,210,-4.20033804814855E-05,2.77138213762063E-06,3.60028655034912E-06,4.2248391615182E-05
141,105,141,225,-4.93159940115361E-05,1.43933848796256E-06,5.25701485662495E-06,4.96162792421154E-05
142,115,163,240,-5.78143236493085E-05,3.08883259713937E-06,8.53995405096568E-06,5.85232237751198E-05
143,115,82,150,-2.20591545821465E-05,3.38217816744017E-06,5.63701382513949E-06,2.30178486158059E-05
144,115,88,165,-2.57488422997658E-05,4.8392405489127E-06,5.06762658491955E-06,2.66852387673903E-05
145,115,96,180,-3.00482911333693E-05,6.00557263366021E-06,4.45606725287823E-06,3.09648710324468E-05
146,115,107,195,-3.5261846910402E-05,6.4534976327064E-06,4.13804978033062E-06,3.60855779392885E-05
147,115,123,210,-4.2006294242503E-05,5.93749442700646E-06,4.69974436107947E-06,4.26833713888438E-05
148,115,141,225,-4.93187927470648E-05,4.62120178303002E-06,6.2875092531907E-06,4.99322700921596E-05
149,115,168,275,-6.24209278161101E-05,1.46607109421784E-06,8.89340916807035E-06,6.30683305669973E-05
150,10,82,-60,2.11003634750511E-06,-3.52442624019137E-06,-5.39258358340703E-06,6.77892258507008E-06
151,10,92,-45,-3.70751633153291E-07,-2.45240098627669E-06,-6.12219523929291E-06,6.60552813323791E-06
152,10,110,-29,-1.73527474646063E-06,-3.66945778352916E-06,-4.77909232245062E-06,6.27023303373274E-06
153,10,135,-15,-3.77504711563182E-06,-2.56686835734412E-06,-6.78990250478551E-06,8.18184391892605E-06
154,10,168,0,-6.18870293534034E-06,-1.31940353717562E-06,-9.59756256130951E-06,1.14958286710464E-05
155,20,82,-60,2.11271225340468E-06,-2.39864876795047E-06,-4.48900572952704E-06,5.51073873608641E-06
156,20,92,-45,-3.68787813286555E-07,-4.2008438960078E-06,-3.30247068507951E-06,5.3562492955112E-06
157,20,110,-29,-1.73298881203481E-06,-2.75464381771432E-06,-4.95553163843614E-06,5.92862603008919E-06
158,20,135,-15,-3.77325699549477E-06,-2.20139271245568E-06,-5.98537981151258E-06,7.410018199476E-06
159,20,168,0,-6.18531051350973E-06,-9.19410650496817E-07,-8.86897629490291E-06,1.08518257732204E-05
160,105,82,-60,2.24058145897461E-06,2.11326981795171E-06,4.54359953727568E-06,5.48911753863025E-06
